Academic_Field,Year_Level,Year_Original,E1,E2,E3,E4
국어교육과,4학년,4학년,전공 및 교과와 연계된 활용 사례 제시,"디지털·AI 학습의 필요성에 대한 확신 부족, 윤리보다 선행된 기술의 발전에 대한 우려",AI 윤리 및 책임 있는 활용,책임감
국어교육과,3학년,3학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시","학습 속도를 따라가기 어렵다는 우려, 임용과 직접 관련되지 않는 수업이라는 우려","수업 설계 및 교육적 활용 방법, 현장 교사와의 교류","AI 활용 윤리, 할루시네이션 해결법"
물리교육과,3학년,3학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대","전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 디지털·AI 학습의 필요성에 대한 확신 부족","수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용, 현장 교사와의 교류",AI의 사용윤리
물리교육과,2학년,2학년,평가 부담이 낮은 수업 설계,임용과 직접 관련되지 않는 수업이라는 우려,현장 교사와의 교류,유료 플랫폼 제공(유료 버전의 AI 등)
물리교육과,2학년,2학년,실습 중심의 수업 확대,기초 지식이나 사전 경험의 부족,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",AI활용
미술교육과,2학년,2학년,"실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움","디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법",No Response
미술교육과,4학년,4학년,"실습 중심의 수업 확대, 정규 교과 내 필수 또는 선택 과목 개설","기초 지식이나 사전 경험의 부족, 임용과 직접 관련되지 않는 수업이라는 우려","AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법","AI도구 지원, 기초적인 학습 지원"
미술교육과,1학년,1학년,"실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계","전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려, 임용과 직접 관련되지 않는 수업이라는 우려","디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법",편의
미술교육과,1학년,1학년,"기초 수준의 단계별 교육 제공, 전공 및 교과와 연계된 활용 사례 제시","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움",코딩 및 앱 개발,No Response
미술교육과,2학년,2학년,"실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계","기초 지식이나 사전 경험의 부족, 학습 속도를 따라가기 어렵다는 우려",수업 설계 및 교육적 활용 방법,디지털 리터러시
미술교육과,4학년,4학년,"기초 수준의 단계별 교육 제공, 전공 및 교과와 연계된 활용 사례 제시",기초 지식이나 사전 경험의 부족,"디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법",프롬포트를 작성할줄 아는것이 중요하다고 생각한다 단순이 이거해줘가 아니라 어떻게 질문해야 내가 원하는 답을 퀄리티있게 얻어낼 수 있는지 질문하는 방법과기술이 중요한 것 같다 그리고 AI가 주는 정보가 거짓인지 판별하는 것도 꼭 필요한 능력이라고 생각한다 
미술교육과,4학년,4학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계","전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려","디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법, AI 윤리 및 책임 있는 활용, 현장 교사와의 교류","AI 윤리와 사용책임, 현장에서 활용 사례 등"
미술교육과,1학년,1학년,기초 수준의 단계별 교육 제공,"기초 지식이나 사전 경험의 부족, 디지털·AI 학습의 필요성에 대한 확신 부족","AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",올바른 활용방법
미술교육과,2학년,2학년,전공 및 교과와 연계된 활용 사례 제시,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려","AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, 현장 교사와의 교류",전공연계
미술교육과,3학년,3학년,"기초 수준의 단계별 교육 제공, 전공 및 교과와 연계된 활용 사례 제시","전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려","AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",활용
미술교육과,4학년,4학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,"AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",프롬프트 입력
미술교육과,2학년,2학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움","코딩 및 앱 개발, AI 도구 활용 방법, AI 윤리 및 책임 있는 활용",AI의 가능성
미술교육과,2학년,2학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시","기초 지식이나 사전 경험의 부족, 임용과 직접 관련되지 않는 수업이라는 우려","코딩 및 앱 개발, 현장 교사와의 교류",디지털
