Academic_Field,Year_Level,E1,E2
국어국문학과,4학년,전혀 영향을 미치지 않는다.,대부분의 인문 분야에서는 거의 중요하지 않다.
국어국문학과,4학년,거의 영향을 미치지 않는다.,중요도는 중간 정도다(있으면 유리한 수준).
국어국문학과,4학년,어느 정도 영향을 미친다.,많은 직무에서 점점 필수에 가까워지고 있다.
러시아학과,졸업생,매우 큰 영향을 미친다.,거의 모든 직무에서 매우 중요하거나 필수라고 본다.
러시아학과,4학년,보통이다(영향이 크지도 작지도 않다).,일부 직무에서만 중요하다.
러시아학과,졸업생,어느 정도 영향을 미친다.,많은 직무에서 점점 필수에 가까워지고 있다.
러시아학과,3학년,보통이다(영향이 크지도 작지도 않다).,중요도는 중간 정도다(있으면 유리한 수준).
러시아학과,2학년,매우 큰 영향을 미친다.,많은 직무에서 점점 필수에 가까워지고 있다.
러시아학과,4학년,어느 정도 영향을 미친다.,많은 직무에서 점점 필수에 가까워지고 있다.
러시아학과,2학년,어느 정도 영향을 미친다.,많은 직무에서 점점 필수에 가까워지고 있다.
러시아학과,3학년,매우 큰 영향을 미친다.,거의 모든 직무에서 매우 중요하거나 필수라고 본다.
러시아학과,3학년,보통이다(영향이 크지도 작지도 않다).,일부 직무에서만 중요하다.
러시아학과,3학년,보통이다(영향이 크지도 작지도 않다).,거의 모든 직무에서 매우 중요하거나 필수라고 본다.
러시아학과,3학년,어느 정도 영향을 미친다.,많은 직무에서 점점 필수에 가까워지고 있다.
러시아학과,졸업생,어느 정도 영향을 미친다.,많은 직무에서 점점 필수에 가까워지고 있다.
러시아학과,졸업생,어느 정도 영향을 미친다.,중요도는 중간 정도다(있으면 유리한 수준).
러시아학과,졸업생,매우 큰 영향을 미친다.,중요도는 중간 정도다(있으면 유리한 수준).
러시아학과,4학년,어느 정도 영향을 미친다.,많은 직무에서 점점 필수에 가까워지고 있다.
러시아학과,2학년,보통이다(영향이 크지도 작지도 않다).,중요도는 중간 정도다(있으면 유리한 수준).
러시아학과,3학년,어느 정도 영향을 미친다.,중요도는 중간 정도다(있으면 유리한 수준).
러시아학과,졸업생,보통이다(영향이 크지도 작지도 않다).,중요도는 중간 정도다(있으면 유리한 수준).
러시아학과,4학년,어느 정도 영향을 미친다.,많은 직무에서 점점 필수에 가까워지고 있다.
러시아학과,1학년,보통이다(영향이 크지도 작지도 않다).,중요도는 중간 정도다(있으면 유리한 수준).
