Timestamp,Field_Group,Year_Level,B1,B1O,B2,B2O,B3,B3O,B4
1/19/2026 11:04:30,제어로봇공학과,2학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,"기초 지식이나 사전 경험의 부족, 학습 속도를 따라가기 어렵다는 우려",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발",No Response,체험
1/19/2026 11:06:26,제어로봇공학과,3학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대",No Response,기초 지식이나 사전 경험의 부족,No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법",No Response,AI를 효율적으로 사용할 수 있는 방법이나 연계되어 직업으로 까지 적용할 수 있는 방향성 이라고 생각합니다
1/19/2026 11:14:21,제어로봇공학과,2학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대",No Response,"전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려",No Response,"디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",No Response,기초
1/19/2026 11:15:00,제어로봇공학과,3학년,"기초 수준의 단계별 교육 제공, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"기초 지식이나 사전 경험의 부족, 학습 속도를 따라가기 어렵다는 우려",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법",No Response,"기본지식, 심화학습"
1/19/2026 11:21:12,제어로봇공학과,4학년,"기초 수준의 단계별 교육 제공, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발",No Response,c언어의 기초
1/19/2026 11:26:02,제어로봇공학과,3학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대",No Response,"전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려",No Response,"코딩 및 앱 개발, AI 도구 활용 방법",No Response,인공지능 
1/19/2026 11:55:59, AI정보공학과,4학년,전공 및 교과와 연계된 활용 사례 제시,No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려, 일자리와 직접 관련되지 않는 수업이라는 우려",No Response,"코딩 및 앱 개발, AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,생각할 힘 가지기
1/19/2026 11:57:43,제어로봇공학과,3학년,평가 부담이 낮은 수업 설계,No Response,"전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 일자리와 직접 관련되지 않는 수업이라는 우려",No Response,"디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법",No Response,인턴쉽 기회 증가
1/19/2026 12:00:55,항공우주소프트웨어공학,대학원생,"실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계",No Response,"일자리와 직접 관련되지 않는 수업이라는 우려, 디지털·AI 학습의 필요성에 대한 확신 부족",No Response,"코딩 및 앱 개발, AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,"비판적 사고, 디지털 윤리, 그리고 인공지능의 책임 있는 활용 역량."
1/19/2026 12:06:40,제어로봇공학과,2학년,평가 부담이 낮은 수업 설계,No Response,"기초 지식이나 사전 경험의 부족, 학습 속도를 따라가기 어렵다는 우려",No Response,"AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",No Response,Ai툴 무료제공
1/19/2026 12:07:07,제어로봇공학과 ,3학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,활용
1/19/2026 12:39:13,제어로봇공학과,3학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,"전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려",No Response,"코딩 및 앱 개발, 수업 설계 및 교육적 활용 방법",No Response,유료버전 이용 혜택
1/19/2026 12:56:54,제어로봇공학과,3학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 디지털·AI 학습의 필요성에 대한 확신 부족",No Response,"디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법",No Response,기초
1/19/2026 13:19:32,AI정보공학과,1학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대",No Response,기초 지식이나 사전 경험의 부족,ai가 내놓은 답의 정확성에 대한 의심,AI 도구 활용 방법,No Response,No Response
1/19/2026 13:23:38,AI융합공학과,대학원생,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 정규 교과 내 필수 또는 선택 과목 개설",No Response,기타,너무 많은 AI툴이 나와 뭘 써야할지 부담됩니다,코딩 및 앱 개발,실제 의미가 남는 프로젝트를 하면 좋겠습니다,접근 기회를 늘린다
1/19/2026 13:25:39,AI정보공학과,3학년,전공 및 교과와 연계된 활용 사례 제시,No Response,디지털·AI 학습의 필요성에 대한 확신 부족,No Response,AI 도구 활용 방법,No Response,Input Output
1/19/2026 13:29:46,제어로봇공학과,3학년,전공 및 교과와 연계된 활용 사례 제시,No Response,일자리와 직접 관련되지 않는 수업이라는 우려,No Response,AI 윤리 및 책임 있는 활용,No Response,전공 확대
1/19/2026 13:32:06,소프트웨어공학과,1학년,실습 중심의 수업 확대,No Response,일자리와 직접 관련되지 않는 수업이라는 우려,No Response,코딩 및 앱 개발,No Response,No Response
1/19/2026 13:34:19,항공우주소프트웨어공학,4학년,"실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"기초 지식이나 사전 경험의 부족, 학습 속도를 따라가기 어렵다는 우려",No Response,"AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,No Response
1/19/2026 13:36:05,제어로봇공학과,3학년,전공 및 교과와 연계된 활용 사례 제시,No Response,기초 지식이나 사전 경험의 부족,No Response,"디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법",No Response,디지털•AI 기초 지식 및 개념
1/19/2026 13:39:56,AI융합공학과,대학원생,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려",No Response,"코딩 및 앱 개발, AI 도구 활용 방법",No Response,기초 개념과 작동 원리
1/19/2026 13:46:06,AI융합공학과,대학원생,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대",No Response,디지털·AI 학습의 필요성에 대한 확신 부족,No Response,"AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,"딥러닝 기초 이해(특히, 신경망 종류별 특징)"
1/19/2026 13:53:58,소프트웨어공학과,2학년,기타,No Response,기타,No Response,코딩 및 앱 개발,No Response,접근성 완화
1/19/2026 13:58:23,AI융합공학과,대학원생,기초 수준의 단계별 교육 제공,No Response,기초 지식이나 사전 경험의 부족,No Response,"코딩 및 앱 개발, AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,AI도구 활용
1/19/2026 14:01:39,소프트웨어공학과,2학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움",No Response,"수업 설계 및 교육적 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,교차검증
1/19/2026 14:09:06,항공우주소프트웨어공학,대학원생,"전공 및 교과와 연계된 활용 사례 제시, 기타",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움",No Response,"AI 도구 활용 방법, AI 윤리 및 책임 있는 활용, 현장 엔지니어(공학자)와의 교류",No Response,No Response
1/19/2026 14:32:20,AI융합공학과,대학원생,"실습 중심의 수업 확대, 정규 교과 내 필수 또는 선택 과목 개설",No Response,기타,No Response,"코딩 및 앱 개발, AI 도구 활용 방법",No Response,실습수업
1/19/2026 15:26:40,제어로봇공학과,1학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법",No Response,AI사용지원
1/19/2026 15:26:59,제어로봇공학과,1학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,No Response,코딩 및 앱 개발,No Response,질문력
