Field_Group,Year_Level,B1,B1O,B2,B2O,B3,B3O,B4,,,,,,,,,,,,,,
AI융합공학과,대학원생,"실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계",No Response,"학습 속도를 따라가기 어렵다는 우려, 일자리와 직접 관련되지 않는 수업이라는 우려",No Response,코딩 및 앱 개발,No Response,API 사용방법,,,,,,,,,,,,,,
AI융합공학과,대학원생,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 정규 교과 내 필수 또는 선택 과목 개설",No Response,기타,너무 많은 AI툴이 나와 뭘 써야할지 부담됩니다,코딩 및 앱 개발,실제 의미가 남는 프로젝트를 하면 좋겠습니다,접근 기회를 늘린다,,,,,,,,,,,,,,
AI융합공학과,대학원생,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려",No Response,"코딩 및 앱 개발, AI 도구 활용 방법",No Response,기초 개념과 작동 원리,,,,,,,,,,,,,,
AI융합공학과,대학원생,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대",No Response,디지털·AI 학습의 필요성에 대한 확신 부족,No Response,"AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,"딥러닝 기초 이해(특히, 신경망 종류별 특징)",,,,,,,,,,,,,,
AI융합공학과,대학원생,기초 수준의 단계별 교육 제공,No Response,기초 지식이나 사전 경험의 부족,No Response,"코딩 및 앱 개발, AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,AI도구 활용,,,,,,,,,,,,,,
AI융합공학과,대학원생,"실습 중심의 수업 확대, 정규 교과 내 필수 또는 선택 과목 개설",No Response,기타,No Response,"코딩 및 앱 개발, AI 도구 활용 방법",No Response,실습수업,,,,,,,,,,,,,,
AI융합공학과,대학원생,"실습 중심의 수업 확대, 기타","AI의 장황한 응답은 사람에게 인지 부하를 유도합니다. 가치있는 정보를 추려내면서 비판적으로 검토하는 능력은 고된 훈련을 통해 다듬어질 수 있습니다. AI의 논리정연하면서 확신에 찬 그럴 듯한 응답은 학생들이 인지적으로 편한 길을 선택하게 만드는데, 이런 현상을 방지하기 위한 훈련 체계가 필요합니다.  ",기타,No Response,"AI 윤리 및 책임 있는 활용, 기타","전문 능력 함양을 위한 훈련 차원에서 어떤 인지적 작업을 AI에게 위임할지 금지할지 그 경계를 제시될 수 있으면 좋겠습니다. AI의 응답에 순응하게 되는 것을 경계해야 합니다. 최근 AI는 사용자 요청에 답변을 제공해줄 뿐만 아니라, 다음에 어떤 선택을 해야 할 지를 제시합니다. 어떤 행동 스텝이 가능한지 질문을 통해 가능한 스텝을 이해하는 것은 좋지만, 인간이 AI에게 어떤 인지적 작업을 위임해야 할 지 그 경계에 대한 설정이 분명해야 합니다. 전문가가 되기 위해 마땅히 감당해야 할 인지적 부담마저 위임한다면 AI-인간 간의 주종관계가 바뀔 수도 있겠습니다.",인간의 전문 능력을 훈련할 기회와 AI에게 작업을 위임할 때 인지적인 경계,,,,,,,,,,,,,,
AI융합공학과,대학원생,"전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계",No Response,디지털·AI 학습의 필요성에 대한 확신 부족,No Response,"디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법",No Response,human-AI collaboration,,,,,,,,,,,,,,
AI융합공학과,대학원생,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려",No Response,"디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,"AI 동작원리, AI 답변의 한계 및 편향 인식",,,,,,,,,,,,,,
AI정보공학과,2학년,정규 교과 내 필수 또는 선택 과목 개설,No Response,기초 지식이나 사전 경험의 부족,No Response,AI 도구 활용 방법,No Response,정보,,,,,,,,,,,,,,
AI정보공학과,4학년,전공 및 교과와 연계된 활용 사례 제시,No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려, 일자리와 직접 관련되지 않는 수업이라는 우려",No Response,"코딩 및 앱 개발, AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,생각할 힘 가지기,,,,,,,,,,,,,,
AI정보공학과,4학년,"기초 수준의 단계별 교육 제공, 전공 및 교과와 연계된 활용 사례 제시, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"기초 지식이나 사전 경험의 부족, 학습 속도를 따라가기 어렵다는 우려",No Response,"코딩 및 앱 개발, AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,사용법,,,,,,,,,,,,,,
AI정보공학과,4학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려",No Response,"코딩 및 앱 개발, AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,"활용사례, 연계성",,,,,,,,,,,,,,
AI정보공학과,1학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대",No Response,기초 지식이나 사전 경험의 부족,ai가 내놓은 답의 정확성에 대한 의심,AI 도구 활용 방법,No Response,No Response,,,,,,,,,,,,,,
AI정보공학과,3학년,전공 및 교과와 연계된 활용 사례 제시,No Response,디지털·AI 학습의 필요성에 대한 확신 부족,No Response,AI 도구 활용 방법,No Response,Input Output,,,,,,,,,,,,,,
AI정보공학과,4학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 정규 교과 내 필수 또는 선택 과목 개설",No Response,일자리와 직접 관련되지 않는 수업이라는 우려,No Response,"코딩 및 앱 개발, AI 도구 활용 방법",No Response,활용,,,,,,,,,,,,,,
AI정보공학과,1학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려, 일자리와 직접 관련되지 않는 수업이라는 우려, 디지털·AI 학습의 필요성에 대한 확신 부족",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용, 현장 엔지니어(공학자)와의 교류",No Response,No Response,,,,,,,,,,,,,,
AI정보공학과,1학년,평가 부담이 낮은 수업 설계,No Response,학습 속도를 따라가기 어렵다는 우려,No Response,AI 도구 활용 방법,No Response,파이썬,,,,,,,,,,,,,,
AI정보공학과,1학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려, 일자리와 직접 관련되지 않는 수업이라는 우려, 디지털·AI 학습의 필요성에 대한 확신 부족",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용, 현장 엔지니어(공학자)와의 교류",No Response,쉬운 접근 유도,,,,,,,,,,,,,,
AI정보공학과,3학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대",No Response,"전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 일자리와 직접 관련되지 않는 수업이라는 우려",No Response,"코딩 및 앱 개발, 현장 엔지니어(공학자)와의 교류",No Response,실습,,,,,,,,,,,,,,
AI정보공학과,3학년,전공 및 교과와 연계된 활용 사례 제시,No Response,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,No Response,현장 엔지니어(공학자)와의 교류,No Response,ai 윤리,,,,,,,,,,,,,,
AI정보공학과,4학년,기초 수준의 단계별 교육 제공,No Response,"기초 지식이나 사전 경험의 부족, 일자리와 직접 관련되지 않는 수업이라는 우려",No Response,수업 설계 및 교육적 활용 방법,No Response,디지털 문화 이해,,,,,,,,,,,,,,
AI정보공학과,3학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움",No Response,"코딩 및 앱 개발, AI 도구 활용 방법",No Response,No Response,,,,,,,,,,,,,,
