Field_Group,Academic_Field,Year_Level,Year_original,Q01_GenC,Q02_UndA,Q03_UseA,Q04_SolP,Q05_PedU,Q06_GroB,Q07_IntL,Q08_EmoB,Q09_NeedS,Q10_ValU,Q11_UrgE,Q12_ManI
ECS, AI융합공학과,졸업생,대학원생,6,6,6,6,6,6,6,5,5,5,5,5
ECS, AI융합공학과,4학년,4학년,6,6,6,6,6,6,6,1,6,6,6,6
ECS, AI융합공학과,졸업생,대학원생,5,6,5,6,5,5,6,2,5,6,5,6
ECS, AI융합공학과,졸업생,대학원생,6,6,6,6,6,6,6,1,6,6,6,6
ECS, AI융합공학과,졸업생,대학원생,1,1,1,2,2,5,6,3,6,3,3,3
ECS, AI융합공학과,졸업생,대학원생,6,6,6,6,6,6,6,1,4,4,6,6
ECS, AI융합공학과,졸업생,대학원생,5,4,5,5,4,6,6,3,5,5,5,5
ECS, AI융합공학과,졸업생,대학원생,5,4,5,4,6,6,6,1,5,6,6,6
ECS, AI융합공학과,졸업생,대학원생,6,5,5,6,5,5,5,3,6,6,6,4
ECS, AI융합공학과,졸업생,대학원생,6,5,6,5,6,6,6,1,5,5,4,5
ECS, AI정보공학과,2학년,2학년,4,3,4,2,3,4,5,5,4,4,5,4
ECS, AI정보공학과,4학년,4학년,3,4,2,3,6,5,6,5,6,6,6,6
ECS, AI정보공학과,1학년,1학년,5,4,5,5,6,5,3,2,4,6,6,5
ECS, AI정보공학과,3학년,3학년,4,5,4,6,6,6,6,3,5,4,5,6
ECS, AI정보공학과,4학년,4학년,3,4,6,6,6,6,6,1,6,6,6,6
ECS, AI정보공학과,1학년,1학년,6,6,6,5,5,6,6,6,6,6,6,6
ECS, AI정보공학과,1학년,1학년,4,4,4,4,3,4,6,3,5,4,4,3
ECS, AI정보공학과,1학년,1학년,1,1,1,1,1,1,6,4,6,6,6,6
ECS, AI정보공학과,3학년,3학년,5,5,4,4,5,5,6,3,5,6,6,5
ECS, AI정보공학과,3학년,3학년,5,5,5,5,6,6,5,1,5,5,6,6
ECS, AI정보공학과,4학년,4학년,3,3,4,4,4,4,3,2,3,4,4,4
ECS, AI정보공학과,3학년,3학년,4,6,3,4,3,3,5,3,3,6,3,3
ECS, AI정보공학과,1학년,1학년,4,3,4,4,4,6,6,3,6,6,6,6
ECS, AI정보공학과,4학년,4학년,4,4,4,4,5,5,6,1,6,6,6,6
ECS, AI정보공학과,1학년,1학년,6,6,6,6,4,5,3,1,4,4,5,5
ECS, AI정보공학과,3학년,3학년,5,5,5,5,5,5,5,1,5,6,5,5
ECS, AI정보공학과,2학년,2학년,2,3,2,3,6,6,6,6,6,6,6,6
ECS, AI정보공학과,3학년,3학년,2,2,2,1,3,3,2,3,4,4,4,3
ECS, AI정보공학과,4학년,4학년,1,3,6,6,5,6,3,1,6,5,6,6
ECS, AI정보공학과,3학년,3학년,6,4,5,5,5,5,5,3,5,5,5,5
ECS, AI정보공학과,2학년,2학년,3,2,3,3,3,3,6,4,6,6,6,6
ECS, AI정보공학과,4학년,4학년,3,3,4,4,3,3,3,3,4,5,4,4
ECS, AI정보공학과,3학년,3학년,3,4,4,4,4,4,5,2,4,5,5,4
ECS, AI정보공학과,2학년,2학년,3,3,4,3,4,6,3,3,3,4,4,4
ECS, AI정보공학과,1학년,1학년,4,4,3,4,3,5,5,3,4,4,5,5
ECS, AI정보공학과,3학년,3학년,2,5,3,5,4,6,3,4,3,5,6,6
ECS, AI정보공학과,4학년,4학년,4,3,4,4,4,6,4,1,5,6,4,2
ECS, AI정보공학과,3학년,3학년,4,4,3,6,6,6,6,1,6,6,6,6
